#RV data for 51 Peg downloaded from 
#http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/153/138/table1&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa
#The RV measurements were converted from m/s to km/s
#Original vizier information is given at the end of the file
#
#---------------- --------------- ----------- ------
#BJD (d)          RV (km/s)        e_RV (km/s)  Spectrograph  
#---------------- --------------- ----------- ------
2453564.96574 -0.04867 0.00251 Lick8
2453571.95842 0.05724 0.00324 Lick8
2453571.97407 0.05735 0.00327 Lick8
2453589.93279 -0.01836 0.00297 Lick8
2453590.93619 -0.03715 0.00278 Lick8
2453592.92581 0.06016 0.00387 Lick8
2453593.94639 -0.00108 0.00263 Lick8
2453594.89154 -0.0443 0.00282 Lick8
2453594.91409 -0.04815 0.00287 Lick8
2453596.95921 0.05721 0.00321 Lick8
2453596.98189 0.06635 0.00294 Lick8
2453636.72612 -0.04261 0.00202 Lick8
2453637.74738 -0.03446 0.00218 Lick8
2453866.97408 0.0214 0.00275 Lick8
2453867.98086 0.05825 0.00212 Lick8
2453895.97294 -0.01806 0.00207 Lick8
2453896.98273 0.04925 0.00197 Lick8
2453897.95203 0.04288 0.00217 Lick8
2453923.94653 -0.00077 0.00261 Lick8
2453923.96372 0.00728 0.00249 Lick8
2453925.93851 0.00341 0.00256 Lick8
2453925.95489 0.01301 0.00267 Lick8
2453926.96475 0.06047 0.0023 Lick8
2453926.98579 0.07588 0.00245 Lick8
2453949.92875 -0.04764 0.00301 Lick8
2453949.94645 -0.03937 0.00298 Lick8
2453950.92854 -0.02094 0.00301 Lick8
2453950.94589 -0.0137 0.00315 Lick8
2453951.90141 0.05353 0.00259 Lick8
2453951.91585 0.0554 0.00258 Lick8
2453953.86753 -0.0244 0.00226 Lick8
2453955.92603 0.04078 0.00202 Lick8
2453957.8196 -0.01032 0.00226 Lick8
2453962.81247 -0.03724 0.00286 Lick8
2453962.82698 -0.03049 0.00265 Lick8
2453963.80439 -0.00273 0.00289 Lick8
2453963.81823 0.00179 0.0032 Lick8
2453964.86934 0.07152 0.00316 Lick8
2453964.88566 0.06914 0.0031 Lick8
2453987.81223 -0.03977 0.00217 Lick8
2453987.82111 -0.04458 0.00203 Lick8
2453988.79583 -0.04485 0.00225 Lick8
2453989.83237 0.04067 0.00222 Lick8
2454046.71209 -0.01938 0.00245 Lick8
2454047.68508 -0.0465 0.00229 Lick8
2454049.68374 0.06102 0.00273 Lick8
2454049.6891 0.06351 0.00236 Lick8
2454071.63652 0.02383 0.00221 Lick8
2454072.64287 -0.05173 0.0022 Lick8
2454073.64263 -0.02869 0.00247 Lick8
2454097.61498 -0.02018 0.00248 Lick8
2454097.62501 -0.01253 0.00259 Lick8
2454098.61516 -0.04896 0.00246 Lick8
2454099.62142 0.02516 0.00225 Lick8
2454102.61078 -0.05321 0.00232 Lick8
2454103.61235 -0.00202 0.00236 Lick8
2454311.89641 0.06282 0.0022 Lick8
2454339.90883 -0.05191 0.00224 Lick8
2454339.9138 -0.05201 0.00194 Lick8
2454340.83152 0.0105 0.0023 Lick8
2454340.83633 0.00666 0.00213 Lick8
2454373.76056 -0.05025 0.00215 Lick8
2454424.67933 -0.03853 0.00179 Lick8
2454424.68468 -0.03751 0.00199 Lick8
2454425.62272 0.03302 0.00191 Lick8
2454623.97319 0.01481 0.00292 Lick8
2454623.98035 -0.00713 0.00219 Lick8
2454672.85694 0.00589 0.00256 Lick8
2454672.88271 -0.01353 0.00227 Lick8
2454672.90578 -0.02679 0.00238 Lick8
2454672.92827 -0.01292 0.00233 Lick8
2454694.94966 -0.05794 0.00231 Lick8
2454783.66077 -0.04559 0.00233 Lick8
2454785.61743 0.06318 0.00237 Lick8
2455171.65373 0.03119 0.0033 Lick8
2455171.66004 0.03015 0.00374 Lick8
2455438.86477 -0.02383 0.00221 Lick8
2455438.86746 -0.02114 0.00226 Lick8
2455438.87028 -0.021 0.00232 Lick8
2455527.64739 -0.01498 0.00195 Lick8
2455527.6579 -0.02759 0.00188 Lick8
2455546.62301 0.0028 0.00395 Lick8
2455546.62885 0.02681 0.00273 Lick8
2455843.85107 0.03869 0.00359 Lick8
2455844.76104 -0.01535 0.00282 Lick8
2455846.74607 0.00357 0.00243 Lick8
2450002.6617 -0.0268 0.003 Lick13
2450002.67439 -0.03099 0.00218 Lick13
2450002.69002 -0.0282 0.00208 Lick13
2450002.80525 -0.03181 0.002 Lick13
2450002.82185 -0.03546 0.00216 Lick13
2450002.96052 -0.03853 0.00255 Lick13
2450002.97419 -0.03744 0.00266 Lick13
2450003.61674 -0.00786 0.002 Lick13
2450003.63236 -0.01156 0.00194 Lick13
2450003.64799 -0.01013 0.00208 Lick13
2450003.72221 -0.00155 0.0018 Lick13
2450003.73783 -0.00408 0.00167 Lick13
2450003.75248 -0.00049 0.00164 Lick13
2450003.89212 0.01028 0.00198 Lick13
2450003.90774 0.01063 0.00209 Lick13
2450003.92239 0.01349 0.00235 Lick13
2450004.60107 0.05893 0.00153 Lick13
2450004.61279 0.06484 0.00163 Lick13
2450004.62451 0.06131 0.0018 Lick13
2450004.78467 0.06688 0.00149 Lick13
2450004.79638 0.06927 0.00156 Lick13
2450004.9077 0.07085 0.00187 Lick13
2450004.91845 0.07256 0.00185 Lick13
2450005.60396 0.05544 0.00167 Lick13
2450005.61568 0.05399 0.00154 Lick13
2450005.92329 0.03184 0.00192 Lick13
2450005.93696 0.02921 0.00198 Lick13
2450011.63591 -0.02597 0.0026 Lick13
2450011.6613 -0.03316 0.00251 Lick13
2450011.83121 -0.02216 0.00256 Lick13
2450011.85367 -0.03065 0.00249 Lick13
2450012.63 0.03934 0.00277 Lick13
2450012.65246 0.0348 0.00297 Lick13
2450012.86241 0.05256 0.00321 Lick13
2450012.88487 0.04969 0.00432 Lick13
2450013.61726 0.0782 0.00245 Lick13
2450013.64069 0.07701 0.00278 Lick13
2450013.82818 0.07009 0.00291 Lick13
2450013.84771 0.06782 0.0039 Lick13
2450021.60898 0.07115 0.00251 Lick13
2450021.63143 0.08204 0.00235 Lick13
2450021.65389 0.07562 0.00246 Lick13
2450021.67733 0.06395 0.0023 Lick13
2450021.70272 0.07393 0.00265 Lick13
2450021.72616 0.07921 0.00405 Lick13
2450021.7496 0.06448 0.00456 Lick13
2450023.59225 -0.02534 0.00295 Lick13
2450023.61471 -0.02107 0.00282 Lick13
2450023.63717 -0.01657 0.00242 Lick13
2450023.6606 -0.02588 0.00261 Lick13
2450023.68306 -0.01977 0.00276 Lick13
2450023.70552 -0.01975 0.00244 Lick13
2450023.72994 -0.0288 0.00279 Lick13
2450024.63417 -0.02001 0.00171 Lick13
2450024.65273 -0.02861 0.00169 Lick13
2450024.72205 -0.02149 0.00187 Lick13
2450024.73768 -0.01596 0.00183 Lick13
2450024.81385 -0.01697 0.00226 Lick13
2450024.8285 -0.00935 0.00232 Lick13
2450025.61361 0.05925 0.00261 Lick13
2450025.63703 0.06142 0.00245 Lick13
2450025.70832 0.05623 0.0025 Lick13
2450025.73078 0.06476 0.00237 Lick13
2450025.75422 0.06152 0.00268 Lick13
2450025.77667 0.07062 0.00232 Lick13
2450026.60572 0.07957 0.00431 Lick13
2450026.62623 0.08546 0.00264 Lick13
2450026.64868 0.08389 0.00295 Lick13
2450026.67212 0.08096 0.00434 Lick13
2450026.69458 0.08532 0.00362 Lick13
2450026.71802 0.08287 0.00313 Lick13
2450026.74048 0.06801 0.00289 Lick13
2450027.64081 -0.0054 0.00251 Lick13
2450027.66229 0.00054 0.00239 Lick13
2450027.68767 -0.01178 0.00288 Lick13
2450027.70525 -0.01231 0.00427 Lick13
2450027.7326 -0.01393 0.00301 Lick13
2450027.75408 -0.01889 0.00242 Lick13
2450027.77654 -0.01027 0.00258 Lick13
2450028.59875 -0.02221 0.00267 Lick13
2450028.62218 -0.02454 0.00258 Lick13
2450028.64758 -0.01199 0.00252 Lick13
2450028.67003 -0.01871 0.0024 Lick13
2450028.69346 -0.02008 0.00247 Lick13
2450028.71592 -0.02165 0.00237 Lick13
2450028.73839 -0.02632 0.00258 Lick13
2450028.76085 -0.0152 0.00245 Lick13
2450028.78428 -0.01788 0.00263 Lick13
2450029.60063 0.03402 0.00221 Lick13
2450029.62309 0.04545 0.00227 Lick13
2450029.69242 0.04503 0.00249 Lick13
2450029.71488 0.0495 0.00244 Lick13
2450029.73832 0.04719 0.00243 Lick13
2450029.76175 0.05078 0.00254 Lick13
2450030.5947 0.08606 0.00301 Lick13
2450030.61521 0.06753 0.00313 Lick13
2450030.63961 0.06236 0.00352 Lick13
2450030.665 0.07892 0.00422 Lick13
2450030.68649 0.07763 0.00308 Lick13
2450030.71188 0.07161 0.00378 Lick13
2450030.73141 0.06768 0.00325 Lick13
2450030.75485 0.07736 0.00277 Lick13
2450030.82613 0.07225 0.00264 Lick13
2450030.84956 0.068 0.00278 Lick13
2450031.65321 0.01908 0.00277 Lick13
2450031.67665 0.00366 0.00279 Lick13
2450031.69911 0.00782 0.00278 Lick13
2450031.72059 0.01533 0.00303 Lick13
2450031.74402 0.01418 0.00308 Lick13
2450031.76648 0.00061 0.00348 Lick13
2450032.59455 -0.02664 0.0022 Lick13
2450032.61701 -0.03096 0.00214 Lick13
2450032.63947 -0.03477 0.00242 Lick13
2450032.66291 -0.02957 0.0024 Lick13
2450032.68536 -0.0203 0.0026 Lick13
2450032.70782 -0.02297 0.00249 Lick13
2450033.60034 0.01771 0.00226 Lick13
2450033.62279 0.02027 0.00242 Lick13
2450033.64623 0.02212 0.00237 Lick13
2450033.66869 0.03301 0.00247 Lick13
2450033.69115 0.02239 0.0027 Lick13
2450033.71361 0.0322 0.00239 Lick13
2450033.73704 0.03301 0.00236 Lick13
2450035.59237 0.0323 0.00172 Lick13
2450035.60116 0.02797 0.00195 Lick13
2450035.60897 0.03158 0.00183 Lick13
2450040.75212 -0.02531 0.00342 Lick13
2450041.5958 -0.01464 0.00268 Lick13
