#---------------- --------     ------
#BJD - 2450000(d)  Flux        e_flux    
#---------------- --------     ------
 8325.36781560   0.99995788  0.00021488 
 8325.36920450   0.99986426  0.00021488 
 8325.37059340   0.99978484  0.00021488 
 8325.37198220   0.99999714  0.00021488 
 8325.37337110   0.99999003  0.00021488 
 8325.37476000   1.00006362  0.00021488 
 8325.37614890   0.99993591  0.00021488 
 8325.37753770   1.00021092  0.00021488 
 8325.37892660   1.00001331  0.00021488 
 8325.38031550   1.00005122  0.00021488 
 8325.38170430   1.00039383  0.00021488 
 8325.38309320   1.00021363  0.00021488 
 8325.38448210   0.99984154  0.00021488 
 8325.38587090   0.99986175  0.00021488 
 8325.38725980   0.99979146  0.00021488 
 8325.38864870   1.00005738  0.00021488 
 8325.39003760   1.00008150  0.00021488 
 8325.39142640   1.00007492  0.00021488 
 8325.39281530   0.99989135  0.00021488 
 8325.39420420   1.00002067  0.00021488 
 8325.39559300   0.99988000  0.00021488 
 8325.39698190   1.00000973  0.00021488 
 8325.39837080   0.99998117  0.00021488 
 8325.39975960   1.00010440  0.00021488 
 8325.40114850   0.99979224  0.00021488 
 8325.40253740   0.99969468  0.00021488 
 8325.40392630   0.99993852  0.00021488 
 8325.40531510   1.00025967  0.00021488 
 8325.40670400   0.99995382  0.00021488 
 8325.40809290   0.99979767  0.00021488 
 8325.40948170   1.00014752  0.00021488 
 8325.41087060   0.99996188  0.00021488 
 8325.41225950   0.99984203  0.00021488 
 8325.41364830   0.99995219  0.00021488 
 8325.41503720   0.99997346  0.00021488 
 8325.41642610   1.00029542  0.00021488 
 8325.41781500   0.99983599  0.00021488 
 8325.41920380   0.99992556  0.00021488 
 8325.42059270   0.99959892  0.00021488 
 8325.42198160   1.00000160  0.00021488 
 8325.42337040   0.99993678  0.00021488 
 8325.42475930   0.99992326  0.00021488 
 8325.42614820   1.00002004  0.00021488 
 8325.42753700   0.99993862  0.00021488 
 8325.42892590   0.99980621  0.00021488 
 8325.43031480   0.99978819  0.00021488 
 8325.43170370   0.99992989  0.00021488 
 8325.43309250   0.99999368  0.00021488 
 8325.43448140   0.99992077  0.00021488 
 8325.43587030   1.00003017  0.00021488 
 8325.43725910   1.00020768  0.00021488 
 8325.43864800   0.99989527  0.00021488 
 8325.44003690   1.00001238  0.00021488 
 8325.44142570   1.00032929  0.00021488 
 8325.44281460   1.00015620  0.00021488 
 8325.44420350   0.99970231  0.00021488 
 8325.44559240   0.99977092  0.00021488 
 8325.44698120   0.99972084  0.00021488 
 8325.44837010   0.99972116  0.00021488 
 8325.44975900   0.99999158  0.00021488 
 8325.45114780   0.99959250  0.00021488 
 8325.45253670   0.99976143  0.00021488 
 8325.45392560   0.99993186  0.00021488 
 8325.45531450   0.99965009  0.00021488 
 8325.45670330   0.99974692  0.00021488 
 8325.45809220   0.99976746  0.00021488 
 8325.45948110   0.99974230  0.00021488 
 8325.46086990   0.99989754  0.00021488 
 8325.46225880   0.99985708  0.00021488 
 8325.46364770   0.99968283  0.00021488 
 8325.46503650   0.99967637  0.00021488 
 8325.46642540   0.99974512  0.00021488 
 8325.46781430   0.99983718  0.00021488 
 8325.46920320   0.99996103  0.00021488 
 8325.47059200   0.99986859  0.00021488 
 8325.47198090   0.99973275  0.00021488 
 8325.47336980   0.99956281  0.00021488 
 8325.47475860   0.99981558  0.00021488 
 8325.47614750   1.00005934  0.00021488 
 8325.47753640   0.99968141  0.00021488 
 8325.47892520   0.99977728  0.00021488 
 8325.48031410   0.99959235  0.00021488 
 8325.48170300   0.99958093  0.00021488 
 8325.48309190   0.99993361  0.00021488 
 8325.48448070   0.99980229  0.00021488 
 8325.48586960   0.99999848  0.00021488 
 8325.48725850   0.99963176  0.00021488 
 8325.48864730   0.99964525  0.00021488 
 8325.49003620   1.00000854  0.00021488 
 8325.49142510   0.99973303  0.00021488 
 8325.49281390   1.00021203  0.00021488 
 8325.49420280   1.00011003  0.00021488 
 8325.49559170   0.99976743  0.00021488 
 8325.49698060   0.99987513  0.00021488 
 8325.49836940   0.99978263  0.00021488 
 8325.49975830   0.99970444  0.00021488 
 8325.50114720   0.99997635  0.00021488 
 8325.50253600   0.99996146  0.00021488 
 8325.50392490   0.99995448  0.00021488 
